Designator,Mid X,Mid Y,Layer,Rotation
R205,30.5mm,25.400000000000002mm,Top,270.0
R204,34.1mm,26.400000000000002mm,Top,90.0
R203,32.9mm,26.400000000000002mm,Top,90.0
R202,31.7mm,26.400000000000002mm,Top,90.0
R201,30.5mm,26.400000000000002mm,Top,90.0
P106,51.4mm,37.35mm,Top,270.0
P105,43.78mm,37.35mm,Top,270.0
P104,47.79mm,37.35mm,Top,270.0
P201,49.75mm,25.900000000000002mm,Top,90.0
P200,29.2mm,24.400000000000002mm,Top,90.0
J100,54.95mm,47.2mm,Bottom,90.0
D100,32.6mm,47.392300000000006mm,Bottom,180.0
D205,59.1965mm,32.656400000000005mm,Top,90.0
D206,46.7mm,29.200000000000003mm,Top,180.0
D203,41.9mm,29.200000000000003mm,Top,180.0
D200,32.3mm,29.200000000000003mm,Top,180.0
D116,33.6361mm,37.9995mm,Top,180.0
D115,37.8744mm,37.9995mm,Top,180.0
D114,33.6361mm,39.932900000000004mm,Top,180.0
D113,37.8744mm,39.932900000000004mm,Top,180.0
D112,33.6361mm,41.866200000000006mm,Top,180.0
D111,37.8744mm,41.866200000000006mm,Top,180.0
D110,33.6361mm,43.7995mm,Top,180.0
D109,37.7531mm,43.938900000000004mm,Top,180.0
D202,37.1mm,29.200000000000003mm,Top,180.0
C143,50.9mm,28.3mm,Top,270.0
C144,52.1mm,28.3mm,Top,90.0
C145,53.3mm,28.3mm,Top,270.0
C146,54.5mm,28.3mm,Top,270.0
C112,39.812200000000004mm,37.6853mm,Bottom,0.0
C111,29.5mm,37.2mm,Bottom,180.0
C123,55.1mm,55.825mm,Bottom,0.0
C105,33.3mm,49.6mm,Bottom,0.0
C100,30.7275mm,49.6mm,Bottom,180.0
C229,50.9mm,27.3949mm,Bottom,90.0
C224,29.05mm,26.0mm,Top,90.0
C223,29.05mm,30.25mm,Top,90.0
C222,29.1mm,27.3mm,Bottom,270.0
C221,49.3227mm,30.0728mm,Top,270.0
C220,49.2153mm,30.1mm,Bottom,270.0
C225,44.7001mm,29.150000000000002mm,Bottom,270.0
C226,45.8mm,29.150000000000002mm,Bottom,270.0
C227,47.9501mm,29.150000000000002mm,Bottom,270.0
C228,49.015299999999996mm,26.3949mm,Bottom,90.0
C212,39.9001mm,29.150000000000002mm,Bottom,270.0
C213,41.0mm,29.150000000000002mm,Bottom,270.0
C214,43.1501mm,29.150000000000002mm,Bottom,270.0
C215,44.1944mm,26.3949mm,Bottom,90.0
C200,30.3001mm,29.150000000000002mm,Bottom,270.0
C201,31.4mm,29.150000000000002mm,Bottom,270.0
C202,33.5501mm,29.150000000000002mm,Bottom,270.0
C203,34.5905mm,26.3949mm,Bottom,90.0
C195,42.1501mm,34.6mm,Bottom,270.0
C190,56.25mm,34.45mm,Bottom,270.0
C185,35.05mm,34.6mm,Bottom,270.0
C180,49.25mm,34.6mm,Bottom,270.0
C142,54.5mm,25.400000000000002mm,Bottom,270.0
C141,53.3mm,25.400000000000002mm,Bottom,270.0
C139,52.1001mm,25.400000000000002mm,Bottom,90.0
C135,50.9mm,25.400000000000002mm,Bottom,270.0
C211,39.4081mm,26.3949mm,Bottom,90.0
C210,38.3501mm,29.150000000000002mm,Bottom,270.0
C209,36.2mm,29.150000000000002mm,Bottom,270.0
C208,35.1001mm,29.150000000000002mm,Bottom,270.0
C147,45.85mm,42.8087mm,Bottom,180.0
F101,30.8mm,55.9972mm,Bottom,90.0
R134,40.05mm,55.5mm,Bottom,0.0
R133,40.05mm,56.675000000000004mm,Bottom,0.0
C133,40.2mm,53.39mm,Bottom,90.0
R131,46.995999999999995mm,38.7438mm,Bottom,180.0
R130,40.3001mm,43.925mm,Bottom,90.0
R129,40.3001mm,40.05mm,Bottom,90.0
Y101,42.5874mm,51.817400000000006mm,Bottom,0.0
C116,43.5286mm,50.3286mm,Bottom,180.0
C115,41.6644mm,50.3423mm,Bottom,0.0
C124,45.85mm,41.6689mm,Bottom,0.0
R121,55.525400000000005mm,58.177mm,Bottom,180.0
R106,49.35mm,56.325mm,Bottom,0.0
J101,54.7mm,57.050000000000004mm,Top,180.0
C108,41.8mm,53.400000000000006mm,Bottom,0.0
R105,59.7491mm,40.7811mm,Top,0.0
R104,59.549099999999996mm,39.5911mm,Top,0.0
R103,59.7491mm,38.4811mm,Top,0.0
R125,60.3mm,26.92mm,Top,270.0
C104,34.15mm,58.0mm,Bottom,90.0
C137,41.4952mm,37.7085mm,Top,0.0
D101,30.9295mm,52.2445mm,Bottom,180.0
C101,57.8916mm,58.177mm,Bottom,180.0
R102,29.7275mm,50.6745mm,Bottom,180.0
R101,40.3001mm,47.8mm,Bottom,270.0
D102,59.6mm,56.800000000000004mm,Top,90.0
Y102,45.2438mm,46.786500000000004mm,Bottom,90.0
R122,59.6mm,36.6mm,Bottom,0.0
R123,57.309799999999996mm,34.575900000000004mm,Bottom,270.0
R127,45.4mm,52.5mm,Bottom,180.0
R128,49.077799999999996mm,38.7438mm,Bottom,180.0
D106,37.7531mm,51.364900000000006mm,Top,180.0
