Designator,Mid X,Mid Y,Layer,Rotation
D202,39.1mm,27.6mm,Top,180.0
C143,52.9mm,26.7mm,Top,270.0
C144,54.1mm,26.7mm,Top,90.0
C145,55.3mm,26.7mm,Top,270.0
C146,56.5mm,26.7mm,Top,270.0
C112,41.812200000000004mm,36.085300000000004mm,Bottom,0.0
C111,31.5mm,35.6mm,Bottom,180.0
C123,57.1mm,54.225mm,Bottom,0.0
C105,35.3mm,48.0mm,Bottom,0.0
C100,32.7275mm,48.0mm,Bottom,180.0
C229,52.9mm,25.7949mm,Bottom,90.0
C224,31.05mm,24.4mm,Top,90.0
C223,31.05mm,28.65mm,Top,90.0
C222,31.1mm,25.7mm,Bottom,270.0
C221,51.3227mm,28.4728mm,Top,270.0
C220,51.2153mm,28.5mm,Bottom,270.0
C225,46.7001mm,27.55mm,Bottom,270.0
C226,47.8mm,27.55mm,Bottom,270.0
C227,49.9501mm,27.55mm,Bottom,270.0
C228,51.015299999999996mm,24.7949mm,Bottom,90.0
C212,41.9001mm,27.55mm,Bottom,270.0
C213,43.0mm,27.55mm,Bottom,270.0
C214,45.1501mm,27.55mm,Bottom,270.0
C215,46.1944mm,24.7949mm,Bottom,90.0
C200,32.3001mm,27.55mm,Bottom,270.0
C201,33.4mm,27.55mm,Bottom,270.0
C202,35.5501mm,27.55mm,Bottom,270.0
C203,36.5905mm,24.7949mm,Bottom,90.0
C195,44.1501mm,33.0mm,Bottom,270.0
C190,58.25mm,32.85mm,Bottom,270.0
C185,37.05mm,33.0mm,Bottom,270.0
C180,51.25mm,33.0mm,Bottom,270.0
C142,56.5mm,23.8mm,Bottom,270.0
C141,55.3mm,23.8mm,Bottom,270.0
C139,54.1001mm,23.8mm,Bottom,90.0
C135,52.9mm,23.8mm,Bottom,270.0
C211,41.4081mm,24.7949mm,Bottom,90.0
C210,40.3501mm,27.55mm,Bottom,270.0
C209,38.2mm,27.55mm,Bottom,270.0
C208,37.1001mm,27.55mm,Bottom,270.0
C147,47.85mm,41.2087mm,Bottom,180.0
F101,32.8mm,54.3972mm,Bottom,90.0
R134,42.05mm,53.9mm,Bottom,0.0
R133,42.05mm,55.075mm,Bottom,0.0
C133,42.2mm,51.79mm,Bottom,90.0
R131,48.995999999999995mm,37.1438mm,Bottom,180.0
R130,42.3001mm,42.325mm,Bottom,90.0
R129,42.3001mm,38.45mm,Bottom,90.0
Y101,44.5874mm,50.2174mm,Bottom,0.0
C116,45.5286mm,48.7286mm,Bottom,180.0
C115,43.6644mm,48.7423mm,Bottom,0.0
C124,47.85mm,40.0689mm,Bottom,0.0
R121,57.525400000000005mm,56.577mm,Bottom,180.0
R106,51.35mm,54.725mm,Bottom,0.0
J101,56.7mm,55.45mm,Top,180.0
C108,43.8mm,51.8mm,Bottom,0.0
R105,61.7491mm,39.1811mm,Top,0.0
R104,61.549099999999996mm,37.9911mm,Top,0.0
R103,61.7491mm,36.8811mm,Top,0.0
R125,62.3mm,25.32mm,Top,270.0
C104,36.15mm,56.4mm,Bottom,90.0
C137,43.4952mm,36.1085mm,Top,0.0
D101,32.9295mm,50.6445mm,Bottom,180.0
C101,59.8916mm,56.577mm,Bottom,180.0
R102,31.7275mm,49.0745mm,Bottom,180.0
R101,42.3001mm,46.2mm,Bottom,270.0
D102,61.6mm,55.2mm,Top,90.0
Y102,47.2438mm,45.186499999999995mm,Bottom,90.0
R122,61.6mm,35.0mm,Bottom,0.0
R123,59.309799999999996mm,32.975899999999996mm,Bottom,270.0
R127,47.4mm,50.9mm,Bottom,180.0
R128,51.077799999999996mm,37.1438mm,Bottom,180.0
D106,39.7531mm,49.7649mm,Top,180.0
D105,39.7531mm,47.9649mm,Top,180.0
D107,45.905mm,53.4895mm,Bottom,180.0
D104,39.7531mm,46.1649mm,Top,180.0
D103,39.7531mm,44.3649mm,Top,180.0
C140,47.4mm,49.8mm,Bottom,0.0
C132,44.9675mm,46.1751mm,Bottom,90.0
C136,44.9675mm,44.099900000000005mm,Bottom,270.0
C127,55.6mm,37.1438mm,Bottom,0.0
C138,31.1339mm,53.172200000000004mm,Bottom,90.0
C130,45.6175mm,39.0535mm,Bottom,0.0
C131,55.6mm,36.0mm,Bottom,0.0
C122,45.6175mm,41.2087mm,Bottom,180.0
C114,61.4683mm,51.0mm,Top,0.0
C103,35.1mm,56.4mm,Bottom,90.0
C113,61.4683mm,52.2mm,Top,180.0
C102,35.3mm,49.0745mm,Bottom,180.0
U105,51.0094mm,45.05mm,Top,270.0
D415,19.7mm,53.7mm,Bottom,270.0
R428,20.6844mm,40.2545mm,Bottom,90.0
R427,7.55mm,38.9mm,Bottom,0.0
R426,19.0758mm,39.2599mm,Top,270.0
R425,17.767699999999998mm,46.375mm,Top,90.0
R424,17.767699999999998mm,48.6721mm,Top,270.0
LED4,6.0081mm,38.0111mm,Top,270.0
LED3,19.0758mm,41.4092mm,Top,90.0
LED2,18.8491mm,46.4mm,Top,90.0
LED1,18.8491mm,48.6471mm,Top,270.0
R422,11.8584mm,37.9mm,Bottom,180.0
C426,18.09mm,43.3mm,Top,0.0
C425,15.4mm,43.3mm,Top,180.0
F410,12.557mm,51.5668mm,Top,0.0
C415,17.723399999999998mm,37.6mm,Bottom,0.0
C414,16.7484mm,47.11mm,Bottom,180.0
U411,15.3222mm,42.25mm,Bottom,90.0
D410,8.2mm,51.2668mm,Bottom,180.0
R411,8.2984mm,54.166799999999995mm,Bottom,270.0
D417,10.9484mm,54.4mm,Bottom,180.0
C410,16.192999999999998mm,52.46mm,Bottom,180.0
D412,11.85mm,55.0168mm,Top,180.0
R410,9.0734mm,55.05mm,Top,0.0
D413,11.85mm,53.3918mm,Top,180.0
C411,10.9234mm,52.6mm,Bottom,0.0
R413,10.9234mm,51.0668mm,Bottom,0.0
D414,8.4mm,52.6mm,Bottom,0.0
D418,12.129999999999999mm,47.4mm,Top,0.0
D416,17.0016mm,51.493700000000004mm,Top,180.0
U410,16.598399999999998mm,54.1mm,Top,180.0
C412,16.192999999999998mm,54.5mm,Bottom,180.0
C413,14.2234mm,53.6629mm,Top,90.0
D411,8.5484mm,52.591499999999996mm,Top,0.0
U420,9.4634mm,43.4918mm,Bottom,180.0
R420,13.5734mm,51.9169mm,Bottom,90.0
C429,11.7584mm,38.9mm,Bottom,0.0
C427,12.479700000000001mm,52.1019mm,Bottom,270.0
C428,9.5693mm,38.9mm,Bottom,180.0
C423,10.3966mm,48.9918mm,Bottom,90.0
C421,11.5882mm,48.9918mm,Bottom,90.0
C422,12.7797mm,48.9918mm,Bottom,90.0
C424,9.2mm,48.9918mm,Bottom,270.0
R421,12.954699999999999mm,47.230000000000004mm,Bottom,0.0
R423,9.6693mm,37.9mm,Bottom,180.0
D420,11.2mm,36.9mm,Top,0.0
C420,8.15mm,49.4mm,Bottom,270.0
L420,16.1mm,49.3mm,Bottom,180.0
D421,16.45mm,38.9392mm,Top,270.0
L421,10.7mm,41.5mm,Top,0.0
D752,82.75mm,49.0mm,Bottom,90.0
D753,79.25mm,45.05mm,Bottom,270.0
Q752,79.25mm,49.0mm,Bottom,90.0
Q753,82.75mm,45.05mm,Bottom,90.0
R758,71.6mm,47.6mm,Bottom,270.0
R759,75.2mm,48.7mm,Bottom,180.0
R760,76.1mm,50.65mm,Bottom,180.0
R761,75.2mm,46.2mm,Bottom,180.0
R762,76.65mm,43.5mm,Bottom,90.0
R763,73.5mm,43.8mm,Bottom,180.0
C751,78.1mm,47.5mm,Top,270.0
C752,83.0mm,46.8mm,Top,180.0
C754,83.0mm,48.1mm,Top,180.0
D751,79.9mm,50.0mm,Top,180.0
R751,73.5mm,43.8mm,Top,180.0
R752,71.6mm,47.6mm,Top,270.0
R753,75.2mm,46.2mm,Top,180.0
R754,75.2mm,48.7mm,Top,180.0
R755,79.4mm,47.5mm,Top,270.0
R756,83.0mm,49.95mm,Top,180.0
R757,80.9mm,47.5mm,Top,270.0
U751,80.8mm,44.3mm,Top,0.0
