Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J1,45.000000mm,12.000000mm,Top,0.0,45.000000mm,12.000000mm
J8,25.000000mm,57.000000mm,Top,0.0,25.000000mm,57.000000mm
M1,30.000000mm,22.000000mm,Top,0.0,30.000000mm,22.000000mm
M2,5.000000mm,35.000000mm,Top,0.0,5.000000mm,35.000000mm
M3,70.000000mm,42.000000mm,Top,0.0,70.000000mm,42.000000mm
SW_BOOT,40.000000mm,55.000000mm,Top,0.0,40.000000mm,55.000000mm
SW_RESET,50.000000mm,55.000000mm,Top,0.0,50.000000mm,55.000000mm
